14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
DAL,DELTA AIR LINES INC,Equity,0.19,50.94,"1,380,723.00","70,334,029.62","70,334,029.62",Industriales,B1W9D46,US2473617023,New York Stock Exchange Inc.
MTB,M&T BANK CORP,Equity,0.18,173.33,"403,694.00","69,972,281.02","69,972,281.02",Financieros,2340168,US55261F1049,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,0.18,173.60,"402,601.00","69,891,533.60","69,891,533.60",Materiales,2304227,US2788651006,New York Stock Exchange Inc.
ADM,ARCHER DANIELS MIDLAND,Equity,0.18,43.35,"1,609,653.00","69,778,457.55","69,778,457.55",Productos básicos de consumo,2047317,US0394831020,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Equity,0.18,169.59,"411,050.00","69,709,969.50","69,709,969.50",Industriales,2365161,US3695501086,New York Stock Exchange Inc.
DLR,DIGITAL REALTY TRUST REIT INC,Equity,0.18,115.37,"592,373.00","68,342,073.01","68,342,073.01",Bienes Raíces,B03GQS4,US2538681030,New York Stock Exchange Inc.
PPL,PPL CORP,Equity,0.18,32.59,"2,079,990.00","67,786,874.10","67,786,874.10",Servicios,2680905,US69351T1060,New York Stock Exchange Inc.
PCAR,PACCAR INC,Equity,0.18,68.45,"989,381.00","67,723,129.45","67,723,129.45",Industriales,2665861,US6937181088,NASDAQ
HPE,HEWLETT PACKARD ENTERPRISE,Equity,0.17,15.66,"4,240,952.00","66,413,308.32","66,413,308.32",Tecnología de la Información,BYVYWS0,US42824C1099,New York Stock Exchange Inc.
IQV,IQVIA HOLDINGS INC,Equity,0.17,140.98,"469,374.00","66,172,346.52","66,172,346.52",Cuidado de la Salud,BDR73G1,US46266C1053,New York Stock Exchange Inc.
VTR,VENTAS REIT INC,Equity,0.17,63.59,"1,025,940.00","65,239,524.60","65,239,524.60",Bienes Raíces,2927925,US92276F1003,New York Stock Exchange Inc.
CCL,CARNIVAL CORP,Equity,0.17,56.43,"1,152,555.00","65,038,678.65","65,038,678.65",Consumo discrecional,2523044,PA1436583006,New York Stock Exchange Inc.
DTE,DTE ENERGY,Equity,0.17,124.38,"521,221.00","64,829,467.98","64,829,467.98",Servicios,2280220,US2333311072,New York Stock Exchange Inc.
ES,EVERSOURCE ENERGY,Equity,0.17,70.92,"912,495.00","64,714,145.40","64,714,145.40",Servicios,BVVN4Q8,US30040W1080,New York Stock Exchange Inc.
WLTW,WILLIS TOWERS WATSON PLC,Equity,0.17,172.25,"373,860.00","64,397,385.00","64,397,385.00",Financieros,BDB6Q21,IE00BDB6Q211,NASDAQ
YUM,YUM BRANDS INC,Equity,0.17,98.98,"638,004.00","63,149,635.92","63,149,635.92",Consumo discrecional,2098876,US9884981013,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.16,64.79,"952,091.00","61,685,975.89","61,685,975.89",Cuidado de la Salud,2369174,US3755581036,NASDAQ
O,REALTY INCOME REIT CORP,Equity,0.16,71.91,"850,461.00","61,156,650.51","61,156,650.51",Bienes Raíces,2724193,US7561091049,New York Stock Exchange Inc.
BXP,BOSTON PROPERTIES REIT INC,Equity,0.16,135.27,"445,084.00","60,206,512.68","60,206,512.68",Bienes Raíces,2019479,US1011211018,New York Stock Exchange Inc.
INFO,IHS MARKIT LTD,Equity,0.16,54.13,"1,101,272.00","59,611,853.36","59,611,853.36",Industriales,BD0Q558,BMG475671050,NASDAQ
